SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
RELIANCE, EQ, 09-Jul-2021,2092.6,2088.0,2091.7,2066.1,2071.95,2071.2,2074.82,4170886,86538.18,169203, 2009477, 48.18
RELIANCE, EQ, 21-Jan-2022,2477.45,2452.0,2502.25,2452.0, 2476.05,2477.85,2475.83,6155759,152406.31,236838, 3203303, 52.04
RELIANCE, EQ, 24-Apr-2020,1370.9,1350.15,1494.95,1347.2,1425.8,1417.0,1431.67,61711388,883502.96,1154959, 9965286, 16.15
RELIANCE, EQ, 04-Jul-2022,2408.7,2378.95,2442.0,2366.1,2413.0,2413.7,2412.08,19317335,465949.3,525122, 8925205, 46.20
RELIANCE, EQ, 16-Jun-2020,1614.55,1643.0,1648.55,1585.3, 1614.05,1617.7,1617.17,23623299,382029.83,424919, 5774484, 24.44
RELIANCE, EQ, 16-Jun-2021,2250.0,2244.9,2247.05,2205.85, 2209.55,2211.6,2223.78,4982975,110810.47,163887, 1901607, 38.16
RELIANCE, EQ, 19-Aug-2022,2661.3,2650.0,2661.7,2604.95, 2609.80,2613.85,2631.57,4366123,114897.48,159356, 2043043, 46.79
RELIANCE, EQ, 01-Dec-2021,2405.4,2433.0,2474.0,2425.1,2467.75,2467.0,2449.6,4663276,114231.48,202787, 1687324, 36.18
RELIANCE, EQ, 09-Jul-2020,1798.0,1809.0,1835.0,1786.25, 1826.75,1824.25,1813.36,16807403,304778.78,352813, 4527046, 26.93
RELIANCE, EQ, 29-Apr-2022,2819.85,2856.15,2856.15,2777.3,2799.7,2790.25,2817.63,8406156,236854.33,231044, 4308908, 51.26
RELIANCE, EQ, 01-Feb-2021,1841.95,1859.4,1905.0,1848.0, 1898.15,1895.3,1874.03,15774504,295618.21,370120, 7864911, 49.86
RELIANCE, EQ, 28-Jul-2021,2055.0,2058.0,2058.0,2016.25,2035.0,2037.35,2033.86,5952355,121062.41,222240, 3270667, 54.95
RELIANCE, EQ, 12-Oct-2020,2233.45,2235.0,2255.75,2226.25, 2236.00,2237.05,2239.55,6565525,147038.04,146831, 1868691, 28.46
RELIANCE, EQ, 20-Feb-2020,1503.8,1497.0,1508.0,1483.8, 1487.00,1485.95,1495.83,7722577,115516.7,176470, 4689093, 60.72
RELIANCE, EQ, 25-Jul-2022,2503.1,2467.45,2467.45,2403.0, 2417.40,2420.4,2422.67,10665470,258388.71,450900, 5024203, 47.11
RELIANCE, EQ, 17-May-2022,2427.2,2435.1,2539.9,2432.0, 2533.50,2529.15,2501.03,7638666,191045.27,278980, 4085578, 53.49
RELIANCE, EQ, 23-Jun-2020,1746.15,1750.0,1763.75,1716.1, 1721.70,1720.9,1731.86,17521196,303443.11,400333, 6287909, 35.89
RELIANCE, EQ, 19-Jan-2021,1983.95,1994.65,2031.0,1994.65, 2015.00,2016.4,2018.21,14771048,298111.13,411707, 6055057, 40.99
